Date,Amount
2022-10-21,5216.96
2022-10-22,5236.76
2022-10-23,5236.76
2022-10-24,5209.04
2022-10-25,5178.03
2022-10-26,5201.07
2022-10-27,5232.38
2022-10-28,5202.37
2022-10-29,5152.66
2022-10-30,5174.27
2022-10-31,5174.27
2022-11-01,5155.56
2022-11-02,5175.72
2022-11-03,5220.00
2022-11-04,5147.05
2022-11-06,5277.28
2022-11-07,5277.28
2022-11-08,5228.27
2022-11-09,5334.68
2022-11-10,5319.30
2022-11-11,5412.59
2022-11-12,5387.68
2022-11-13,5395.53
2022-11-14,5395.53
2022-11-15,5434.51
2022-11-22,5419.32
2022-11-23,5392.40
2022-11-24,5433.17
2022-11-25,5416.56
2022-11-26,5449.96
2022-11-27,5462.85
2022-11-28,5462.85
2022-11-29,5412.40
2022-11-30,5433.40
2022-12-01,5426.23
2022-12-02,5545.46
2022-12-03,5528.19
2022-12-04,5545.64
2022-12-06,5448.16
2022-12-18,5562.07
2022-12-19,5562.07
2022-12-20,5542.73
2022-12-22,5625.24
2022-12-23,5565.39
2022-12-24,5577.65
2022-12-25,5588.67
2022-12-26,5588.67
2022-12-27,5598.39
2022-12-28,5632.46
2022-12-30,5630.11
2023-01-11,5757.42
2023-01-12,5758.97
2023-01-13,5794.75
2023-01-15,5833.83
2023-01-16,5833.83
2023-01-17,5856.60
2023-01-18,5844.48
2023-01-19,5820.65
2023-01-20,5848.33
2023-01-21,5844.44
2023-01-23,5842.07
2023-02-04,5616.55
2023-02-05,5817.73
2023-02-06,5817.73
2023-02-08,5888.79
2023-02-09,5893.62
2023-02-11,5837.80
2023-02-12,5848.86
2023-02-13,5848.86
2023-02-14,5808.11
2023-02-16,5768.57
2023-02-28,5718.87
2023-03-01,5754.73
2023-03-02,5762.16
2023-03-04,5756.50
2023-03-05,5781.99
2023-03-07,5761.96
2023-03-08,5668.84
2023-03-09,5675.33
2023-03-10,5710.06
2023-03-12,5821.27
2023-03-24,6145.83
2023-03-25,6137.78
2023-03-28,6039.96
2023-03-29,6103.72
2023-03-31,6116.39
2023-04-02,6101.76
2023-04-03,6101.76
2023-04-20,6203.22
2023-04-21,6225.84
2023-04-24,6162.56
2023-04-25,6172.68
2023-04-27,6168.88
2023-04-29,6166.51
2023-04-30,6181.51
2023-05-16,6272.57
2023-05-17,6189.27
2023-05-20,6220.67
2023-05-23,6206.47
2023-05-25,6165.30
2023-05-27,6115.60
2023-06-10,6154.18
2023-06-11,6152.98
2023-06-14,6095.57
2023-06-17,6103.57
2023-06-19,6084.99
2023-06-20,6080.10
2023-07-05,5995.28
2023-07-06,5998.87
2023-07-09,6042.61
2023-07-12,6035.19
2023-07-14,6097.43
2023-07-15,6101.55
2023-07-29,6119.51
2023-07-30,6119.51
2023-08-02,6079.44
2023-08-05,6092.64
2023-08-07,6122.42
2023-08-08,6081.70
2023-08-22,5984.75
2023-08-26,6022.16
2023-08-29,6042.95
2023-08-31,6101.38
2023-09-01,6090.41
2023-09-15,6037.78
2023-09-19,6106.39
2023-09-22,6065.09
2023-09-25,6070.73
2023-09-26,6061.99
2023-10-13,5926.37
2023-10-17,6073.25
2023-10-20,6197.80
2023-10-22,6268.47
2023-10-23,6268.47
2023-10-25,6251.14
2023-11-06,6318.56
2023-11-10,6243.73
2023-11-13,6173.77
2023-11-15,6219.14
2023-11-16,6196.01
2023-11-18,6261.32
2023-12-01,6413.80
2023-12-05,6412.27
2023-12-08,6409.82
2023-12-10,6354.65
2023-12-11,6354.65
2023-12-13,6268.60
2023-12-25,6457.64
2023-12-31,6499.43
2024-01-03,6501.79
2024-01-06,6424.21
2024-01-09,6381.65
2024-01-21,6415.71
2024-01-25,6388.95
2024-01-28,6391.73
2024-01-30,6416.08
2024-02-03,6435.32
2024-02-15,6311.71
2024-02-19,6340.08
2024-02-22,6380.59
2024-02-24,6394.97
2024-02-27,6376.10
2024-03-10,6765.50
2024-03-14,6721.53
2024-03-17,6716.23
2024-03-19,6712.52
2024-03-22,6781.57
2024-04-03,7113.85
2024-04-08,7276.76
2024-04-11,7349.63
2024-04-13,7404.62
2024-04-16,7479.80
2024-04-21,7539.61
2024-04-22,7539.61
2024-04-27,7381.98
2024-04-28,7435.62
2024-05-02,7308.70
2024-05-03,7321.47
2024-05-04,7311.86
2024-05-05,7315.39
2024-05-07,7383.66
2024-05-09,7349.03
2024-05-10,7406.15
2024-05-15,7453.66
2024-05-16,7535.04
2024-05-21,7663.67
2024-05-22,7621.26
2024-05-27,7353.76
2024-05-28,7420.18
2024-05-29,7437.18
2024-05-31,7421.68
2024-06-02,7385.95
2024-06-03,7385.95
2024-06-08,7319.08
2024-06-09,7285.54
2024-06-14,7317.67
2024-06-15,7401.87
2024-06-19,7375.55
2024-06-20,7380.28
2024-06-21,7469.12
2024-06-22,7367.22
2024-06-24,7367.22
2024-06-27,7307.98
2024-06-28,7370.08
2024-07-05,7448.57
2024-07-06,7524.27
2024-07-11,7497.15
2024-07-12,7601.93
2024-07-16,7485.98
2024-07-17,7593.53
2024-07-18,7564.95
2024-07-19,7571.78
2024-07-20,7496.09
2024-07-21,7517.99
2024-07-23,7494.93
2024-07-24,7064.38
2024-07-26,6939.86
2024-07-29,7364.15
2024-07-30,7364.15
2024-08-01,7141.54
2024-08-04,7174.15
2024-08-05,7174.15
2024-08-07,7060.90
2024-08-09,7155.58
2024-08-10,7178.47
2024-08-11,7181.97
2024-08-12,7181.97
2024-08-13,7253.12
2024-08-14,7246.18
2024-08-16,7227.03
2024-08-17,7338.08
2024-08-19,7377.36
2024-08-22,7373.46
2024-08-23,7302.22
2024-08-25,7378.41
2024-08-28,7397.13
